Figures are in millions and in USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galactic Groups,Galaxies,Exchange,Ticker,Planets,Business description,Volume,Stock Price,STELLAR,Market Cap,% REV Space,REV Space (figures 2021) ,P/E,Revenue 2021 ,Revenue 2020,Revenue 2019 ,Revenue 2018 ,Revenue 2017,Revenue 2016 ,Cumulative annual revenue growth rate (2016-2021),Revenue change (%) ,Profit 2021,Profit 2020,Profit 2019,Profit 2018,Profit 2017,Profit 2016,Cumulative Annual Profit growth rate (2016-2021),Profit Change %,
ComNet,Communications ,XNAS|NASDAQ,VSAT [XNAS],"VIASAT, INC. (XNAS:VSAT)","ViaSat, Inc. is a global communications company. Its segments include satellite services, commercial networks and government systems. The satellite services segment provides satellite-based broadband and related services to residential customers, prepaid Internet users, enterprises, commercial airlines and other mobile broadband customers. The commercial networks segment develops and offers advanced satellite and wireless broadband platforms, ground networking equipment, radio frequency and advanced microwave solutions, application-specific integrated circuit (ASIC) chip design, satellite payload development and space-to-earth connectivity systems. The government systems segment provides global mobile broadband services to military and government users and develops and offers network-centric, Internet protocol (IP)-based fixed and mobile secure communications products and solutions. The Company also holds a multi-layered, global spectrum portfolio, covering L-band, Ka-band, and S-band.","615,774", $38.74 ,0.0245,"4,775,714,000.00",70.00%,"1,579.20",#FIELD!,"2,256","2,309.23","2,068.00","1,594.60","1,559.00","1,417.43",9.74%,59.16%,56.23,38.42,-60.62,21.77,21.77,21.77,21%,167.49%,
ComNet,Communications ,XNAS|NASDAQ,DISH [XNAS],DISH NETWORK CORPORATION (XNAS:DISH),"DISH Network Corporation is a holding company. Its subsidiaries operate two primary business segments, Pay-TV and Wireless. Its Wireless business segment operates in two business units, Retail Wireless and 5G Network Deployment. The Pay-TV segment offers pay-TV services under the DISH and the SLING brand. The DISH branded pay-TV service consists of direct broadcast satellite (DBS) and Fixed Satellite Service (FSS) spectrum, its owned and leased satellites, receiver systems, broadcast operations, a leased fiber optic network, and in-home service. The SLING branded pay-TV services consist of, multichannel, live-linear streaming over-the-top (OTT) Internet-based domestic, international, and Latino video programming services. The Wireless-Retail unit offers nationwide prepaid and postpaid retail wireless services to subscribers under its Boost Mobile, Boost Infinite and Gen Mobile brands. The Wireless-5G Network Deployment unit has invested to acquire certain wireless spectrum licenses.","1,930", $6.02 ,0.0019,"3,206,299,000.00",20.00%,"3,098.69",1.83,"17,880","15,493.45","12,807.00","13,621.00","14,391.00","15,212.00",0.46%,1.85%,,"2,582.60","1,878.80","2,147.60","2,098.60","1,497.90",12%,72.41%,
ComNet,Communications ,NY Stock Exchange,GSAT [XNYS] ,"GLOBALSTAR, INC. (XNYS:GSAT)","Globalstar, Inc. provides mobile satellite services (MSS) including voice and data communications services through its global satellite network. The Company offers voice and data communication services over its network of in-orbit satellites and its active ground stations (gateways), which it refers to as the Globalstar System. In addition to supporting Internet of things (IoT) data transmissions in a variety of applications, it provides connectivity in areas not served or underserved by terrestrial wireless and wireline networks. It offers two-way voice communication and data transmission via the GSP-1600 and GSP-1700 phones (Duplex). The Company offers one-way or two-way communications and data transmissions using mobile devices, including the SPOT family of products, such as SPOT X , SPOT Gen4 and SPOT Trace, that transmit messages and the location of the device (SPOT). It also provides satellite network access and related services.","6,569", $0.97 ,0.0166,"1,747,980,000.00",47.00%,58.42,0,124,128.49,131.72,130.11,112.66,,1.99%,10.33%,-112.63,-109.64,15.32,-6.52,-89.07,,5%,-26.45%,
ComNet,Communications ,XNAS|NASDAQ,ASTS [XNAS],"AST SPACEMOBILE, INC. (XNAS:ASTS)","AST SpaceMobile, Inc. is engaged in building the space-based cellular broadband network accessible by standard, unmodified, off-the-shelf mobile devices or 2G/3G/4G LTE/5G devices using low band and middle-band spectrum controlled by mobile network operators (MNOs). The Company's SpaceMobile Service is designed to provide high-speed mobile broadband services to end-users who are out of terrestrial cellular coverage. It is also engaged in designing and assembling its constellation of BlueBird (BB) satellites. BlueWalker 3 (BW3) is its prototype satellite, which is designed to operate directly with standard, unmodified mobile devices. The Company primarily operates in the United States, India, Scotland, Spain and Israel.",849, $6.85 ,0.9657,"1,398,314,000.00",92.00%,7.09,"10,771.42",8,5.97,1.41,0.36,,,115.12%,1558.33%,,-24.06,-10.89,-4.44,,,-76%,-441.89%,
ComNet,Communications ,NASDAQ Stockholm,AAC [XSTO],AAC Clyde Space AB (XSTO:AAC),"AAC Clyde Space AB, formerly AAC Microtec AB, is a Sweden-based company, which is primarily involved in the aerospace industry. The Company operates as a provider of space solutions and systems for commercial, governmental and educational purposes on the global market through its partner network and offices in Sweden, the United States and the United Kingdom. The Company specializes in small, purpose-built satellites, as well as sub-systems and components. The Company's customers include the European Space Agency (ESA), National Aeronautics and Space Administration (NASA), Orbcomm, Kepler Communications, NSLComm, KP Labs and Orbital Micro Systems, among others.","736,586", $0.62 ,0.0033,"123,296,200.00",95.00%,183.9,,194,106.72,69.41,79.37,17.23,,62.22%,1023.51%,-39.49,-38.3,-40.56,-42.68,-27.32,,8%,-44.55%,
ComNet,Communications ,Australia Stock Exchange,KSS [XASX],Kleos Space SA (XASX:KSS),"Kleos Space SA is a Luxembourg-based company specialized in geo-located intelligence. Kleos Space offers geo-located intelligence (SIGINT) services to other companies and public entities gathering capability from space using in- space manufacturing technology. Its technology enables users to listen and locate radio signals from a number of devices and areas, including satphone, mobile phone and maritime very high frequency (VHF). In addition, its technology also allows the control of ships of undesirable users such as drugs, people smugglers, terrorists, pirates and illegal fisherman, as well as provides access to those in need of search and rescue, among others. The Company is a subsidiary of Magna Parva.","40,000", $0.10 ,2.2396,"19,084,350.00",95.00%,0.04,#FIELD!,0,0,0,0.83,,,-43.65%,-94.32%,-6.37,-4.87,-3.5,-2.2,0.31,,-100%,-2125.44%,
ComNet,Communications ,NY Stock Exchange,SPIR [XNYS] ,"SPIRE GLOBAL, INC. (XNYS:SPIR)","Spire Global, Inc. is a global provider of space-based data, analytics, and space services. The Company owns and operates multi-purpose satellite constellations in low earth orbit. Its multi-receiver satellites obtain automatic identification systems (AIS) data from vessels, automatic dependent surveillance-broadcast (ADS-B) data from aircraft and radio occultation (RO) data utilizing global navigation satellite systems (GNSS) satellites. The Company’s constellation of low Earth multi-use receiver (LEMUR) satellites collects and transmits data to its global ground station network. The data is then autonomously moved from ground stations to proprietary data warehouses for cleansing, standardization, fusion and analysis. Via the SpireSight application programming interface (API), its customers receive proprietary data, analysis, and predictive solutions delivered seamlessly in real and near real-time. It serves various industries, such as maritime, aviation and government.","137,241", $0.35 ,0.0085,"72,941,670.00",95.00%,41.21,0,43,28.49,18.49,,,,32.88%,134.61%,-19.31,-32.5,-32.32,,,,-16%,-40.25%,
ComNet,Communications ,NY Stock Exchange,GRMN [XNYS],Garmin Ltd (XNYS:GRMN),"Garmin Ltd. (Garmin) is a Switzerland-based entity. The Company and its subsidiaries offer global positioning system (GPS) navigation and wireless devices and applications. The Company operates through five segments: fitness, outdoor, aviation, marine and auto. It offers a range of auto navigation products, as well as a range of products and applications designed for the mobile GPS market. It offers Outdoor Handhelds, Wearable Devices, Golf Devices, and Dog Tracking and Training/Pet Obedience Devices. Garmin offers various products designed for use in fitness and activity tracking. Company’s aviation business segment is a provider of solutions to aircraft manufacturers, existing aircraft owners and operators, as well as military and government customers and serves a range of aircraft, including transport aircraft, business aviation, general aviation, experimental/light sport, helicopters, optionally piloted vehicles, and unmanned aerial vehicles. Company operates worldwide.","1,103,574", $101.56 ,0.0784,"19,427,460,000.00",26.00%,"1,295.58",20.29,"4,983","4,187.00","3,757.00","3,347.44","3,121.50","3,045.00",10.35%,63.65%,,992.3,952.4,694.08,709.01,517.72,14%,91.67%,
ComNet,Communications ,XNAS|NASDAQ,SIRI [XNAS],SIRIUS XM HOLDINGS INC. (XNAS:SIRI),"Sirius XM Holdings Inc. is an audio entertainment company. The Company operates through two segments: Sirius XM and Pandora and Off-platform. Sirius XM segment features music, sports, entertainment, comedy, talk, news, traffic and weather channels and other content, as well as podcasts and infotainment services in the United States on a subscription basis. Sirius XMs premier content bundles include live, curated and certain exclusive and on demand programming. Pandora and Off-platform segment operates a music, comedy and podcast streaming platform, offering a personalized experience for each listener wherever and whenever they want to listen, whether through mobile devices, car speakers or connected devices. It has a portfolio of audio businesses, including its flagship subscription entertainment service, Sirius XM; the ad-supported and premium music streaming services of Pandora; a podcast network; an advertising sales group, SXM Media; and a suite of advertising technology solutions.",83, $3.83 ,0.1927,"14,815,970,000.00",0.30%,19.87,13.32,"6,624","6,342.00","7,794.00","5,770.00","5,017.00","1,302.00",38.45%,408.76%,"1,314.00",131,914,"1,176.00",648,746,12%,76.16%,
ComNet,5G communications,XNAS|NASDAQ,TMUS [XNAS],"T-MOBILE US, INC. (XNAS:TMUS)","T-Mobile US, Inc. is a provider of mobile communications services, including voice, messaging and data, under its flagship brands, T-Mobile and Metro by T-Mobile, in the United States, Puerto Rico and the United States Virgin Islands. The Company provides mobile communications services primarily using its fourth generation (4G) long term evolution network and its fifth generation (5G) technology network. It also offers a selection of wireless devices, including handsets, tablets and other mobile communication devices, and accessories for sale, as well as financing through equipment installment plans and leasing through JUMP! On Demand. The Company’s primary service plan offers signature Magenta plan, which includes, among other benefits, unlimited talk, text and smartphone data on its network, 5G access at no extra cost. Customers can also choose additional features, such as unlimited premium data with its Ultra Capacity 5G service, for an additional cost on its Magenta Max plan.",34, $132.80 ,0.0129,"159,345,700,000.00",15.00%,"10,259.55",39.74, NA ,"68,397.00","44,498.00","43,310.00","40,604.00","37,490.00",16.22%,82.44%,,"3,064.00","3,468.00","2,888.00","4,536.00","1,460.00",20%,109.86%,
ComNet,Orbital Imagery,NY Stock Exchange,PL [XNYS] ,PLANET LABS PBC (XNYS:PL),"Planet Labs PBC is a provider of global, daily satellite imagery and geospatial solutions. The Company designs, builds, and operates the Earth observation fleet of imaging satellites, capturing, and compiling data. The Company's satellite data and analytics reveal actionable insights regarding a large array of important phenomena, such as deforestation, agriculture, climate change, biodiversity, and supply chains worldwide. Its daily stream of proprietary data and machine learning analytics, delivered over its cloud-native platform, helps companies, governments, and civil society use satellite imagery to discover insights as change happens. The Company serves approximately 880 customers across large commercial and government verticals, including agriculture, mapping, forestry, finance, and insurance, as well as federal, state, and local government bodies.",841, $3.07 ,0.0356,"847,417,400.00",90.00%,86.17,#FIELD!,113,95.74,,,,,8.72%,18.21%,-127.1,-123.71,,,,,,,
ComNet,Orbital Imagery,NY Stock Exchange,MAXR [XNYS],MAXAR TECHNOLOGIES INC. (XNYS:MAXR),"Maxar Technologies, Inc. is a space technology company that is specializing in manufacturing communication, earth observation, radar, and on-orbit servicing satellites, satellite products, and related services. It delivers disruptive value to government and commercial customers to help them monitor, understand, and navigate changing planet, deliver global broadband communications, and explore and advance the use of space. Its segments include Earth Intelligence and Space Infrastructure. The Earth Intelligence segment is a supplier of high-resolution space-based optical and radar imagery products and analytics. The Space Infrastructure segment is a provider of Space Infrastructure that designs, builds, integrates, and tests solutions for space-based communication satellites, on-orbit servicing, robotic assembly, and space exploration. It also provides geospatial services that combine imagery, analytic expertise, and technology to deliver intelligence solutions to customers.","32,129", $30.03 ,0.0179,"2,213,547,336.00",95.00%,"1,681.50",19.72,"1,770","172,000.00","167,000.00","180,000.00","126,000.00",-0.02,-57.39%,-98.60%,46,303,109,"-125,000.00",60,-0.51,-5%,-23.33%,
ComNet,Orbital Imagery,NY Stock Exchange,BKSY [XNYS],BLACKSKY TECHNOLOGY INC. (XNYS:BKSY),"BlackSky Technology Inc. is a provider of real-time geospatial intelligence. The Company delivers on-demand, high frequency imagery, monitoring and analytics of the strategic locations, economic assets, and events in the world. It designs, owns, and operates low earth orbit (LEO) small satellite (smallsat) constellations. Its Spectra AI software platform processes data from the Company’s constellation and from other third-party sensors to develop the critical insights and analytics. Spectra AI employs advanced artificial intelligence and machine learning techniques to process, analyze and transform these data feeds into fully automated alerts, information and insights for its customers. Its key services and products include imagery and software analytical services, and professional and engineering services. Imagery and software analytical services include imagery services, and data, software and analytics. It develops and delivers advanced launch vehicle, satellite and payload systems.",127, $1.93 ,0.1074,"268,912,700.00",85.00%,17.97,#FIELD!,34,21.14,13.71,,,,24.17%,54.19%,,,-66.15,-19.45,,,-84%,-240.10%,
ComNet,Orbital Imagery,NY Stock Exchange,TDY [XNYS],TELEDYNE TECHNOLOGIES INCORPORATED (XNYS:TDY),"Teledyne Technologies Incorporated provides enabling technologies for industrial growth markets. These markets include factory automation and condition monitoring, air and water quality environmental monitoring, and others. Its segments include Digital Imaging, which includes sensors, cameras and systems, within the visible, infrared, ultraviolet and X-ray spectra for use in industrial, scientific, government, space, defense, security and others; Instrumentation segment provides monitoring and control instruments for marine, environmental, industrial and other applications, and electronic test and measurement equipment; Aerospace and Defense Electronics segment provides electronic components and subsystems, data acquisition and communications components and equipment, harsh environment interconnects, general aviation batteries and other components, and Engineered Systems segment provides systems engineering, integration and technology development, and manufacturing solutions.","343,338", $399.09 ,0.2536,"18,775,420,000.00",51.00%,"1,573.86",25.25,"4,614","3,086.00","3,163.00","2,901.80","2,603.80","2,149.90",9.46%,43.54%,,401.9,402.3,333.8,227.2,190.9,20%,110.53%,
Enabling & Support,Spacecraft development,NY Stock Exchange,LMT [XNYS],LOCKHEED MARTIN CORPORATION (XNYS:LMT),"Lockheed Martin Corporation is a security and aerospace company. It operates through four segments. Aeronautics segment is engaged in the research, design, development, manufacture, support and upgrade of military aircraft, including combat and air mobility aircraft, unmanned air vehicles and related technologies. Missiles and Fire Control segment provides air and missile defense systems; fire control systems; manned and unmanned ground vehicles, and energy management solutions. Rotary and Mission Systems segment provides design, manufacture, service and support for various military and commercial helicopters, surface ships, sea and land-based missile defense systems, radar systems, sea and air-based mission and combat systems, command and control mission solutions, cyber solutions, and simulation and training solutions. Space segment is engaged in the research and development, design, engineering and production of satellites, space transportation systems, strike and defensive systems.",850, $459.36 ,0.0305,"116,915,800,000.00",23.00%,"15,041.54",20.98,"67,044","65,398.00","59,812.00","53,762.00","49,960.00","47,290.00",7.23%,41.77%,"6,315.00","6,833.00","6,230.00","5,046.00","1,963.00","5,173.00",4%,22.08%,
Enabling & Support,Spacecraft development,XNAS|NASDAQ,MNTS [XNAS] ,MOMENTUS INC (XNAS:MNTS),"Momentus Inc. is a commercial space company. The Company is focused on offering transportation and infrastructure services to help enable the commercialization of space. The Company's services include satellite transportation, payload-hosting, on-orbit satellite refueling, on-orbit inspection, on-orbit satellite maintenance, de-orbiting, debris removal, and other satellite-to-satellite service offerings. The Company provides these services with Orbital Transfer Vehicles (OTVs) that it designs and manufactures. The Company is designing a space transportation service based on a hub-and-spoke model, which combines ride-share launch on a medium or large rocket with last-mile delivery using one of its h Orbital Service Vehicles (OSVs). The Company is focused on developing its OTV, Vigoride, which primarily operates in low earth orbit (LEO). The Company serves satellite operators, satellite manufacturers, satellite aggregators, launch providers, and others.","324,357", $0.26 ,2.3167,"25,100,150.00",95.00%,0.11,,0.12,-0.37,,,,,#NUM!,-132.88%,120.65,-307.03,-15.75,0.1,,,489%,120550.00%,
Enabling & Support,Spacecraft development,NY Stock Exchange,AJRD [XNYS],"AEROJET ROCKETDYNE HOLDINGS, INC. (XNYS:AJRD)","Aerojet Rocketdyne Holdings, Inc. is primarily engaged in providing solutions to its customers in the aerospace and defense, and real estate markets. The Company’s segments include Aerospace and Defense, and Real Estate. The Aerospace and Defense segment includes the operations of its subsidiary, Aerojet Rocketdyne, Inc., a technology-based designer, developer and manufacturer of aerospace and defense products and systems for the United States government, including the Department of Defense (DoD), the National Aeronautics and Space Administration (NASA), and aerospace and defense prime contractors. The Real Estate segment includes the activities of its subsidiary, Easton Development Company, LLC, related to the re-zoning, entitlement, sale, and leasing of its excess real estate assets. The Company develops and manufactures liquid and solid rocket propulsion, air-breathing hypersonic engines, and electric power and propulsion for space, defense, civil and commercial applications.","1,480,891", $54.94 ,0.0282,"4,436,894,000.00",94.00%,"1,948.62",60.35,"2,188","2,073.00","1,982.00","1,896.00","1,877.00","1,761.00",4.16%,17.72%,,137.7,141,137,-9.2,18,66%,35.17%,
Enabling & Support,Spacecraft development,NY Stock Exchange,NOC [XNYS],NORTHROP GRUMMAN CORPORATION (XNYS:NOC),"Northrop Grumman Corporation is a global aerospace and defense technology company. The Company operates through four segments: Aeronautics Systems, Defense Systems, Mission Systems and Space Systems. The Aeronautics Systems segment is engaged in the design, development, production, integration, sustainment and modernization of advanced aircraft systems for the United States Air Force, the United States Navy, other United States government agencies, and international customers. The Defense Systems segment is engaged in the design, development, production, integration, sustainment and modernization of weapon and mission systems for United States military and civilian agency customers, and a range of international customers. The Mission Systems segment is engaged in advanced mission solutions and multifunction systems. The Space Systems segment is engaged in the design, development, integration, production and operation of space, missile defense, launch and strategic missile systems.",282, $454.05 ,0.0147,"68,951,780,000.00",84.22%,"30,993.00",14.7, NA ,"36,799.00","33,841.00","30,095.00","26,004.00","24,706.00",10.47%,48.95%,,"3,189.00","2,248.00","3,229.00","2,869.00","2,043.00",12%,56.09%,
