,,Cash& Cash equivalents,,,Interest Expense ($K),,,Interest ratio coverage,,Total liabilities net minority interest,,,Shareholders' Equity excl. Minority interest,,,D/E Ratio,1.38,"median, not average",Total Debt/E Ratio,,Total debt,,Total debt,,Current assets,Current Liabilities,,Operating Cash Flow,Current ratio,Cash ratio,Working Capital,Current cash debt coverage,Average current liabilities,,Operating Income,,,EBIT,,,,Interest Coverage ratio (EBIT),,EBITDA,Interest Coverage ratio (EBITDA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIASAT, INC. (XNAS:VSAT)",VSAT," $310,459 "," $304,309 ",,"28,887","36,993",*2020 only,10.75,," $3,706,752 "," $2,833,726 ",*2020 not 2019," $2,633,866 "," $2,027,787 ",,1.41,1.40,,1.07,," $2,813,791 "," $2,138,001 ",10%,," $1,159,472 "," $770,421 "," $708,437 ","436,875",1.50,0.40," 389,051 ",0.59 ," $739,429.00 ",," $8,330 ", $-   ,," $12,448 ", $-   ,#DIV/0!,,0.43,,41177,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISH NETWORK CORPORATION (XNAS:DISH),DISH," $1,785,056 "," $2,443,643 ",,"22,781","23,687",,78.36,," $34,197,922 "," $21,114,788 ",," $17,942,524 "," $11,564,521 ",,1.91,1.83,,1.34,," $24,037,021 "," $14,224,390 ",19%,," $4,610,110 "," $6,024,248 "," $6,515,886 ","3,092,100",0.77,0.30," (1,414,138)",0.49 ," $6,270,067.00 ",," $2,045,666 "," $1,878,876 ",," $3,127,424 "," $1,967,614 ",59%,,137.28,,2803846,123.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GLOBALSTAR, INC. (XNYS:GSAT)",GSAT," $32,100 "," $7,606 ",,0,"62,464",,#DIV/0!,," $448,675 "," $558,247 ",2021 to 2019," $365,431 "," $407,343 ",,1.23,1.37,,0.74,," $269,670 "," $480,576 ",-18%,," $81,244 "," $197,076 "," $61,565 ","63,800",0.41,0.16," (115,832)",0.49 ," $129,320.50 ",," $-54,503 "," $-62,922 ",," $-54,503 "," $-62,922 ",-13%,,#DIV/0!,,57396,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Webscraped annual Balance Sheet data from Yahoo Finance,,,,,,,,,,,,,,,,,,,
"AST SPACEMOBILE, INC. (XNAS:ASTS)",ASTS," $238,588 "," $42,777 ",,0,0,,#DIV/0!,," $78,546 "," $19,658 ",*2020 not 2019," $133,532 "," $77,497 ",,0.59,0.25,,0.09,," $12,526 "," $7,045 ",21%,," $268,310 "," $27,796 "," $21,377 ","-156,464",9.65,8.58," 240,514 ",(6.36)," $24,586.50 ",," $-145,764 ", $-   ,," $-145,764 ", $-   ,#DIV/0!,,#DIV/0!,,-160167,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All numbers in thousands,,,,,,,,,,,,,,,,,,,
,AAC.ST," $52,100 "," $52,380 ",,"1,161",947,,44.88,," $217,895 "," $79,291 ",," $663,506 "," $466,095 ",,0.33,0.17,,0.03,," $17,213 "," $14,900 ",5%,," $152,664 "," $181,965 "," $134,266 ","6,435",0.84,0.29," (29,301)",0.04 ," $158,115.50 ",," $-63,205 "," $-39,793 ",," $-47,978 "," $-40,088 ",-20%,,-41.32,,-29615,(25.51),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"You can freely edit this file, however all changes to ticker sheets will get deleted when updated",,,,,,,,,,,,,,,,,,,
,KSS.AX," $1,760 ", 292.593 ,,369,224,,4.77,," $5,198 "," $2,192 ",," $5,181 "," $2,990 ",,1.00,0.73,,0.52,," $2,676 "," $1,638 ",18%,," $2,878 "," $2,633 "," $4,570 ","-4,699",1.09,0.67, 245.178 ,(1.30)," $3,601.50 ",," $-6,998 "," $-3,868 ",," $-6,771 "," $-3,279 ",106%,,-18.35,,-1454,(3.94),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPIRE GLOBAL, INC. (XNYS:SPIR)",SPIR," $47,196 "," $15,571 ",,"13,955","6,773",,3.38,," $146,389 "," $93,158 ",," $110,123 "," $-48,736 ",,1.33,1.91,,1.01,," $111,623 "," $75,276 ",14%,," $96,776 "," $33,368 "," $24,978 ","-47,820",2.90,1.41," 63,408 ",(1.64)," $29,173.00 ",," $-68,545 "," $-25,345 ",," $-75,134 "," $-25,331 ",197%,,-5.38,,-49824,(3.57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garmin Ltd (XNYS:GRMN),GRMN," $1,279,194 "," $1,027,567 ",,#N/A,#N/A,,#N/A,," $1,526,830 "," $1,373,303 ",," $6,204,340 "," $4,793,496 ",,0.25,0.29,,0.02,," $114,541 "," $49,238 ",33%,," $3,955,151 "," $1,211,635 "," $1,448,148 ","788,259",3.26,1.06," 2,743,516 ",0.59 ," $1,329,891.50 ",," $1,027,845 "," $945,586 ",," $1,027,845 "," $945,586 ",9%,,#N/A,,1202972,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIRIUS XM HOLDINGS INC. (XNAS:SIRI),SIRI," $57,000 "," $106,000 ",,"422,000","390,000",,0.14,," $13,373,000 "," $11,885,000 ",," $-3,351,000 "," $-736,000 ",,3.99,16.15,,-2.93,," $9,822,000 "," $8,346,000 ",6%,," $1,038,000 "," $2,981,000 "," $2,980,000 ","1,976,000",0.35,0.02," (1,943,000)",0.66 ," $2,980,500.00 ",," $2,100,000 "," $1,731,000 ",," $2,027,000 "," $1,587,000 ",28%,,4.80,,2676000,6.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T-MOBILE US, INC. (XNAS:TMUS)",TMUS," $4,507,000 "," $1,528,000 ",,"3,364,000","1,135,000",,1.34,," $141,682,000 "," $58,132,000 ",," $69,656,000 "," $28,789,000 ",,2.03,2.02,,1.55,," $107,858,000 "," $26,112,000 ",60%,," $19,067,000 "," $24,742,000 "," $23,499,000 ","16,781,000",0.77,0.18," (5,675,000)",0.70 ," $24,120,500.00 ",," $8,107,000 "," $5,722,000 ",," $6,510,000 "," $5,738,000 ",13%,,1.94,,21725000,6.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANET LABS PBC (XNYS:PL),PLANET," $181,892 "," $21,678 ",,"8,772","6,946",*2020 only,20.74,," $176,619 "," $145,353 ",," $576,104 "," $217,637 ",,0.31,0.67,,0.04,," $22,030 "," $57,460 ",-27%,," $475,655 "," $122,257 "," $132,041 ","-73,933",3.89,1.49," 353,398 ",(0.58)," $127,149.00 ",," $-175,675 "," $-106,460 ",," $-161,119 "," $-116,638 ",38%,,,,-124343,(14.17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXAR TECHNOLOGIES INC. (XLON:0A53),MAXR," $52,000 "," $59,000 ",,"105,000","197,000",,0.50,," $3,218,000 "," $4,395,000 ",," $1,387,000 "," $761,000 ",,2.32,5.78,,1.70,," $2,361,000 "," $3,158,000 ",-9%,," $608,000 "," $736,000 "," $622,000 ","325,000",0.83,0.07," (128,000)",0.48 ," $679,000.00 ",," $11,000 "," $-10,000 ",," $-43,000 "," $274,000 ",-116%,,-0.41,,249000,2.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKSKY TECHNOLOGY INC. (XNYS:BKSY),BKSY," $34,181 "," $5,098 ",,"5,425","5,201",*2020 only,6.30,," $112,215 "," $152,728 ",*2020 not 2019," $121,704 "," $-32,813 ",,0.92,4.65,,0.65,," $79,351 "," $101,656 ",-8%,," $88,529 "," $26,926 "," $30,535 ","-44,456",3.29,1.27," 61,603 ",(1.55)," $28,730.50 ",," $-86,549 ", $-   ,," $-69,624 ", $-   ,#DIV/0!,,-12.83,,-44135,(8.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELEDYNE TECHNOLOGIES INCORPORATED (XNYS:TDY),TDY," $638,100 "," $199,500 ",,"89,300","21,000",,7.15,," $6,195,800 "," $1,865,100 ",," $8,158,200 "," $2,714,700 ",,0.76,0.69,,0.48,," $3,920,600 "," $850,600 ",66%,," $2,817,900 "," $1,523,400 "," $1,483,700 ","486,800",1.85,0.42," 1,294,500 ",0.32 ," $1,503,550.00 ",," $972,000 "," $491,700 ",," $997,400 "," $494,700 ",102%,,11.17,,1188500,13.31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCKHEED MARTIN CORPORATION (XNYS:LMT),LMT," $2,547,000 "," $1,514,000 ",,"623,000","653,000",,4.09,," $43,614,000 "," $44,357,000 ",," $9,266,000 "," $3,127,000 ",,4.71,14.19,,1.67,," $15,429,000 "," $12,654,000 ",7%,," $20,991,000 "," $15,887,000 "," $13,997,000 ","7,802,000",1.32,0.16," 5,104,000 ",0.52 ," $14,942,000.00 ",," $8,348,000 "," $8,367,000 ",," $7,303,000 "," $7,894,000 ",-7%,,11.72,,8707000,13.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOMENTUS INC (XNAS:MNTS),MNTS," $61,094 "," $23,005 ",,"5,262",470,*2020 only,11.61,," $53,816 "," $325,791 ",*2020 not 2019," $38,607 "," $-289,471 ",,1.39,1.13,,0.55,," $21,315 "," $314,766 ",-59%,," $76,274 "," $43,226 "," $38,867 ","-87,887",1.76,1.41," 33,048 ",(2.14)," $41,046.50 ",," $-91,275 ", $-   ,," $-90,182 ", $-   ,#DIV/0!,,-17.14,,-88446,(16.81),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AEROJET ROCKETDYNE HOLDINGS, INC. (XNYS:AJRD)",AJRD," $322,100 "," $932,600 ",,"18,600","35,700",,17.32,," $1,830,500 "," $2,131,100 ",," $541,300 "," $576,700 ",,3.38,3.70,,0.65,," $349,300 "," $676,100 ",-20%,," $1,069,000 "," $747,100 "," $875,800 ","-48,700",1.43,0.43," 321,900 ",(0.06)," $811,450.00 ",," $188,800 "," $238,200 ",," $126,900 "," $227,600 ",-44%,,6.82,,250400,13.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHROP GRUMMAN CORPORATION (XNYS:NOC),NOC," $2,577,000 "," $2,245,000 ",,"506,000","528,000",,5.09,," $28,443,000 "," $32,270,000 ",," $15,312,000 "," $8,819,000 ",,1.86,3.66,,0.96,," $14,701,000 "," $14,078,000 ",1%,," $12,488,000 "," $11,587,000 "," $9,530,000 ","2,901,000",1.08,0.22," 901,000 ",0.27 ," $10,558,500.00 ",," $3,601,000 "," $3,969,000 ",," $6,342,000 "," $3,076,000 ",106%,,12.53,,7684000,15.19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MedApp S.A. (XWAR:MDA),MDA," $39,300 "," $78,600 ",,"34,200","32,200",*2021 only,1.15,," $750,200 "," $997,800 ",*2020 not 2019," $1,000,600 "," $457,400 ",,0.75,2.18,,0.25,," $251,900 "," $580,200 ",-24%,," $378,200 "," $318,600 "," $225,900 ","57,000",1.19,0.12," 59,600 ",0.21 ," $272,250.00 ",," $74,600 ", $-   ,," $68,400 ", $-   ,#DIV/0!,,2.00,,150800,4.41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHB SE (XFRA:OHB),OHB.F," $106,110 "," $85,090 ",,"9,102","7,142",,11.66,," $787,261 "," $730,189 ",," $268,756 "," $181,697 ",,2.93,4.02,,0.95,," $254,939 "," $167,455 ",15%,," $721,889 "," $526,024 "," $457,851 ","9,122",1.37,0.20," 195,865 ",0.02 ," $491,937.50 ",," $33,363 "," $45,229 ",," $59,081 "," $46,286 ",28%,,6.49,,65334,7.18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kongsberg Gruppen ASA (XFRA:KOZ),KOZ.MU," $3,932,000 "," $5,654,000 ",,"301,000","255,000",,13.06,," $29,481,000 "," $26,612,000 ",," $13,535,000 "," $12,753,000 ",,2.18,2.09,,0.32,," $4,398,000 "," $6,287,000 ",-11%,," $26,905,000 "," $24,097,000 "," $19,164,000 ","1,106,000",1.12,0.16," 2,808,000 ",0.05 ," $21,630,500.00 ",," $3,331,000 "," $1,179,000 ",," $3,798,000 "," $1,222,000 ",211%,,12.62,,5112000,16.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIMBLE INC. (XNAS:TRMB),TRMB," $271,000 "," $189,200 ",,"71,100","82,400",,3.81,," $3,218,800 "," $3,520,300 ",," $4,050,200 "," $3,119,000 ",,0.79,1.13,,0.40,," $1,625,100 "," $1,957,300 ",-6%,," $1,518,200 "," $1,462,100 "," $1,188,600 ","391,200",1.04,0.19," 56,100 ",0.30 ," $1,325,350.00 ",," $541,100 "," $402,700 ",," $640,200 "," $427,200 ",50%,,9.00,,743200,10.45 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
need new scrapper for BALL not BLL,BLL,#REF!,#REF!,,4,0,,#REF!,," $1,127 ", $-   ,," $31,529 ", $-   ,,0.04,#DIV/0!,,#REF!,,#REF!, $-   ,#REF!,," $2,931 ", 630.833 ," $1,242 ",,4.65,#REF!," 2,300 ",0.00 , $936.42 ,," $-2,908 ", $-   ,," $-2,703 ", $-   ,#DIV/0!,,-635.85,,-2242,(527.41),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROCHIP TECHNOLOGY INCORPORATED (XNAS:MCHP),MCHP, $-   ," $401,000 ",,0,"497,300",,#DIV/0!,," $9,856,700 "," $11,840,600 ",," $6,513,600 "," $5,585,500 ",,1.51,2.12,,0.99,," $6,439,900 "," $9,482,200 ",-12%,," $3,069,300 "," $3,118,600 "," $1,399,000 ","2,842,700",0.98,0.00," (49,300)",1.26 ," $2,258,800.00 ",," $3,112,000 "," $693,800 ",," $3,112,000 "," $693,800 ",349%,,#DIV/0!,,3777900,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURTISS-WRIGHT CORPORATION (XNYS:CW),CW," $256,974 "," $391,033 ",,"46,980","31,347",,5.47,," $2,457,483 "," $1,989,889 ",," $1,992,119 "," $1,774,372 ",,1.23,1.12,,0.70,," $1,386,675 "," $905,763 ",15%,," $1,517,313 "," $971,439 "," $734,867 ","294,776",1.56,0.26," 545,874 ",0.35 ," $853,153.00 ",," $428,094 "," $403,953 ",," $436,175 "," $427,809 ",2%,,9.28,,440826,9.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASTRA SPACE, INC. (XNAS:ASTR)",ASTR," $33,644 "," $10,611 ",,0,870,,#DIV/0!,," $92,389 "," $176,299 ",*2020 not 2019," $82,310 "," $-140,408 ",,1.12,1.26,,0.16,," $12,851 "," $58,921 ",-40%,," $125,782 "," $81,542 "," $40,725 ","-175,438",1.54,0.41," 44,240 ",(2.87)," $61,133.50 ",," $-263,512 "," $-52,585 ",," $-263,512 "," $-52,309 ",-404%,,#DIV/0!,,-108172,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMPLITECH GROUP, INC. (XNAS:AMPG)",AMPG," $13,290 ", 574.712 ,,"13,013","76,052",,1.02,," $7,924 "," $2,267 ",," $28,756 "," $1,094 ",,0.28,2.07,,0.16,," $4,672 "," $2,077 ",31%,," $22,166 "," $1,835 "," $3,815 ","-3,425",12.08,7.24," 20,331 ",(1.21)," $2,825.00 ",, 269.487 , 81.997 ,, -664.094 , 81.997 ,-910%,,-0.05,,269.487,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO.PA,HO.PA," $5,099,600 "," $2,931,400 ",,"104,400","131,800",,48.85,," $27,039,000 "," $25,541,300 ",," $7,173,900 "," $5,449,200 ",,3.77,4.69,,0.76,," $5,471,400 "," $6,274,700 ",-4%,," $21,013,500 "," $20,742,600 "," $18,567,900 ","3,025,400",1.01,0.25," 270,900 ",0.15 ," $19,655,250.00 ",," $1,442,900 "," $1,405,700 ",," $1,451,400 "," $1,579,300 ",-8%,,13.90,,"2,482,000",23.77 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEXCEL CORPORATION (XNYS:HXL),HXL," $112,000 "," $64,400 ",,"104,400","131,800",,1.07,," $1,283,100 "," $1,682,500 ",," $1,554,200 "," $1,446,100 ",,0.83,1.16,,0.47,," $723,500 "," $1,060,100 ",-12%,," $734,400 "," $329,800 "," $247,600 ","173,100",2.23,0.34," 404,600 ",0.60 ," $288,700.00 ",," $1,442,900 "," $1,405,700 ",," $1,451,400 "," $1,579,300 ",-8%,,13.90,,"312,200",2.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GomSpace Group AB (XFRA:1G2),1G2.F," $33,097 "," $106,237 ",,"1,929","1,642",,17.16,," $229,374 "," $141,071 ",," $104,798 "," $295,682 ",,2.19,0.48,,1.04,," $108,906 "," $78,565 ",11%,," $144,698 "," $181,586 "," $126,949 ","-159,066",0.80,0.18," (36,888)",(1.03)," $154,267.50 ",," $-231,995 "," $-113,856 ",," $-231,010 "," $-144,889 ",59%,,-119.76,,-156503,(81.13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AM.PA," $3,980,527 "," $3,532,883 ",,"4,128","75,107",,964.27,," $16,533,931 "," $10,922,986 ",," $6,005,570 "," $4,445,934 ",,2.75,2.46,,0.04,," $233,652 "," $558,218 ",-25%,," $18,294,905 "," $16,340,264 "," $10,725,397 ","5,109,971",1.12,0.24," 1,954,641 ",0.38 ," $13,532,830.50 ",," $599,007 "," $794,103 ",," $866,323 "," $1,034,407 ",-16%,,209.87,,1066005,258.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
